_id,gameId,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,playerIds,game_cond,chat_cond
kpcbvmkgdkyqxXFJo,Z5FZXHNfuyphj5PhR,8,2,0,0,0,0,2,8,26,GEP2thqtKeEPqmAYh,0,A,p1,1.532,aqua-crate,green-crate,8,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
vHq9drYNwmHSShFit,Z5FZXHNfuyphj5PhR,9,2,0,0,0,0,2,9,27,GEP2thqtKeEPqmAYh,9,A,p1,1.339,orange-crate,purple-crate,9,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
GSkcSL5LS5fbFST3F,Z5FZXHNfuyphj5PhR,9,4,0,0,0,0,4,9,28,GEP2thqtKeEPqmAYh,0,A,p1,1.561,blue-crate,green-crate,9,0,0,4,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
FkWdYLJ74SPTcWwgf,Z5FZXHNfuyphj5PhR,6,3,0,0,0,0,3,6,29,GEP2thqtKeEPqmAYh,3,B,p1,2.721,pink-crate,aqua-crate,6,0,0,3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
ZLNKeTo88xGHcn83M,Z5FZXHNfuyphj5PhR,8,5,0,0,0,0,5,8,30,GEP2thqtKeEPqmAYh,0,A,p1,2.935,blue-crate,aqua-crate,8,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
j8XvpPHy3upQ5WD7w,Z5FZXHNfuyphj5PhR,7,3,0,0,0,0,3,7,31,GEP2thqtKeEPqmAYh,0,A,p1,3.001,orange-crate,aqua-crate,7,0,0,3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
8p8Saa9Jmbdf9Z9Ze,Z5FZXHNfuyphj5PhR,3,2,0,0,0,0,2,3,32,GEP2thqtKeEPqmAYh,0,B,p1,2.136,blue-crate,green-crate,3,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
GNFRidY4rpu5h7p83,Z5FZXHNfuyphj5PhR,8,2,0,0,0,0,2,8,33,GEP2thqtKeEPqmAYh,2,B,p1,2.488,pink-crate,green-crate,8,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
zsdx3skcQX3gSFs6K,Z5FZXHNfuyphj5PhR,8,4,0,0,0,0,4,8,34,GEP2thqtKeEPqmAYh,0,A,p1,2.57,purple-crate,crate,8,0,0,4,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
i7WBko939qsrPoLzf,Z5FZXHNfuyphj5PhR,9,5,0,0,0,0,5,9,35,GEP2thqtKeEPqmAYh,0,A,p1,2.569,crate,pink-crate,9,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
Dv26iLbnc3Btm98yH,Z5FZXHNfuyphj5PhR,6,4,0,0,0,0,4,6,36,GEP2thqtKeEPqmAYh,0,A,p1,1.586,purple-crate,crate,6,0,0,4,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
hKr4FwFoXgKLdWTsv,Z5FZXHNfuyphj5PhR,7,3,0,0,0,0,3,7,37,GEP2thqtKeEPqmAYh,0,A,p1,1.831,yellow-crate,aqua-crate,7,0,0,3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
FNfZ6hDqyhKjc2Pcc,Z5FZXHNfuyphj5PhR,9,2,0,0,0,0,2,9,38,GEP2thqtKeEPqmAYh,0,A,p1,1.483,orange-crate,pink-crate,9,0,0,2,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
QXQhXEq4nJht6zS6P,Z5FZXHNfuyphj5PhR,7,6,0,0,0,0,6,7,39,GEP2thqtKeEPqmAYh,0,B,p1,1.342,yellow-crate,blue-crate,7,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
jmAxvdFdC9DteHQQ4,Z5FZXHNfuyphj5PhR,7,2,0,0,0,0,2,7,0,m3yvm4LFxdtfHeBRw,7,B,p2,50.514,pink-crate,orange-crate,2,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
5dbRWpRE4yKvqiZyt,Z5FZXHNfuyphj5PhR,9,4,0,0,0,0,4,9,1,m3yvm4LFxdtfHeBRw,4,A,p2,17.91,orange-crate,pink-crate,4,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
zHq8W8hXFL4hmRrtB,Z5FZXHNfuyphj5PhR,5,2,0,0,0,0,2,5,2,m3yvm4LFxdtfHeBRw,5,B,p2,11.352,aqua-crate,green-crate,2,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
nDTi2ebJYm9mEDF8Z,Z5FZXHNfuyphj5PhR,9,2,0,0,0,0,2,9,3,m3yvm4LFxdtfHeBRw,2,A,p2,2.782,yellow-crate,aqua-crate,2,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
