_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.timeClick,data.scoreIncrement,data.exitTimeoutId,data.exited
3C3u5ncxnYod9GsNJ,,2022-01-07T17:06:13Z,,,"Sorry,ExitSurvey",2022-01-07T17:27:18Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-01-07T17:02:16Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.16,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",false,false,0,15264,true
h2vS5mWWfBBFgCddm,,2022-01-07T17:05:24Z,,,"Sorry,ExitSurvey",2022-01-07T17:28:54Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-01-07T17:02:48Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.4600000000000002,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,4654,0,14531,true
HajfrsTXaiKg3fBib,,2022-01-07T17:04:06Z,,,ExitSurvey,2022-01-07T17:16:19Z,finished,,,,2022-01-07T17:02:58Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.940000000000001,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""}",A,15132,2,,
T55x3e4etyNEH9SkG,,2022-01-07T17:06:21Z,,,ExitSurvey,2022-01-07T17:18:14Z,finished,,,,2022-01-07T17:03:08Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.380000000000001,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""}",B,1204,0,,
3NexhWeTuEWHuu6g5,,2022-01-07T17:05:16Z,,,ExitSurvey,2022-01-07T17:17:23Z,finished,,,,2022-01-07T17:03:54Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.5200000000000005,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",A,5188,6,,
pZEm25w6mN3gL4Qx7,,2022-01-07T17:04:59Z,,,ExitSurvey,2022-01-07T17:17:23Z,finished,,,,2022-01-07T17:04:05Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.540000000000001,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",A,2461,8,,
6CwPgXuvh2hWpQ9Lh,,2022-01-07T17:06:49Z,,,ExitSurvey,2022-01-07T17:24:19Z,finished,,,,2022-01-07T17:04:08Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.680000000000001,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""}",A,8774,3,,
CRvJuBh2iv4TYTCTZ,,2022-01-07T17:04:55Z,,,ExitSurvey,2022-01-07T17:22:32Z,finished,,,,2022-01-07T17:04:20Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.1400000000000015,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,9476,7,,
4EXNanqv6KXsbiN29,,2022-01-07T17:06:20Z,,,ExitSurvey,2022-01-07T17:18:14Z,finished,,,,2022-01-07T17:05:26Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.5200000000000005,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,1114,0,,
njdfWPZcQMgSsZaZw,,2022-01-07T17:07:45Z,,,ExitSurvey,2022-01-07T17:24:19Z,finished,,,,2022-01-07T17:06:36Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.6400000000000015,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""}",A,7734,7,,
jgpotgNmBQWjkRAek,,2022-01-07T17:10:03Z,,,ExitSurvey,2022-01-07T17:25:50Z,finished,,,,2022-01-07T17:08:19Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.060000000000001,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",B,8350,2,,
a8QmY4jecMp8NLFEi,,2022-01-07T17:09:10Z,,,ExitSurvey,2022-01-07T17:25:50Z,finished,,,,2022-01-07T17:08:37Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.1400000000000015,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",B,7344,7,,
tb5FsQpyjmGB9z4rw,,2022-01-07T17:10:08Z,,,ExitSurvey,2022-01-07T17:21:19Z,finished,,,,2022-01-07T17:09:35Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.3400000000000003,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",B,5691,0,,
TXbXC7Am26TT2GNeg,,2022-01-07T17:11:54Z,,,ExitSurvey,2022-01-07T17:21:19Z,finished,,,,2022-01-07T17:10:50Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.420000000000001,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,3237,0,,
