_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
8WJE5CSfM9WdWrATu,,2022-06-24T21:32:32Z,,,ExitSurvey,2022-06-24T21:42:46Z,finished,,,,2022-06-24T21:30:55Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.4,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,0,,
Kmw7z75ayKXM5onfQ,,2022-06-24T21:32:13Z,,,ExitSurvey,2022-06-24T21:43:05Z,finished,,,,2022-06-24T21:30:56Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.7750000000000004,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",B,11,,
3hkmd443h5Hoc7uRA,,2022-06-24T21:32:03Z,,,ExitSurvey,2022-06-24T21:45:17Z,finished,,,,2022-06-24T21:30:58Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.270000000000001,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",B,7,,
vNgXPZvRtiZ2fYpdi,,2022-06-24T21:31:35Z,,,ExitSurvey,2022-06-24T21:41:55Z,finished,,,,2022-06-24T21:31:02Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.1599999999999997,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,0,,
jWT2DwR7LyyR328y8,,2022-06-24T21:31:48Z,,,ExitSurvey,2022-06-24T21:42:51Z,finished,,,,2022-06-24T21:31:02Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.8200000000000003,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",A,0,,
35Bf8odtQqtBx76JY,,2022-06-24T21:32:16Z,,,ExitSurvey,2022-06-24T21:43:05Z,finished,,,,2022-06-24T21:31:04Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.55,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",A,0,,
8mtEFqemeDEbGbRK9,,2022-06-24T21:32:28Z,,,ExitSurvey,2022-06-24T21:42:46Z,finished,,,,2022-06-24T21:31:05Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.535,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",B,0,,
4RLp6tw8CrGD6bi8N,,2022-06-24T21:32:36Z,,,ExitSurvey,2022-06-24T21:43:21Z,finished,,,,2022-06-24T21:31:08Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.3600000000000003,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",B,7,,
8rdWL4uwqorMKJPgk,,2022-06-24T21:34:32Z,,,ExitSurvey,2022-06-24T21:46:20Z,finished,,,,2022-06-24T21:31:16Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.1150000000000007,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,3,,
6h5noaoG6oRD2rn3i,,2022-06-24T21:33:07Z,,,ExitSurvey,2022-06-24T21:43:57Z,finished,,,,2022-06-24T21:31:18Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.82,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,6,,
ZPMK28iAPfmtLm3wH,,2022-06-24T21:33:44Z,,,ExitSurvey,2022-06-24T21:45:58Z,finished,,,,2022-06-24T21:31:18Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.29,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",A,10,,
SW3JbYpoZgJosZ7Fz,,2022-06-24T21:32:05Z,,,ExitSurvey,2022-06-24T21:45:17Z,finished,,,,2022-06-24T21:31:20Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.270000000000001,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",B,6,,
aaZBH4E4cBNeJdq3s,,2022-06-24T21:33:46Z,,,ExitSurvey,2022-06-24T21:46:34Z,finished,,,,2022-06-24T21:31:34Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.309999999999999,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",A,2,,
xPBSBGS4KYgaQ6Cbc,,2022-06-24T21:34:32Z,,,ExitSurvey,2022-06-24T21:46:34Z,finished,,,,2022-06-24T21:32:15Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.2949999999999995,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",A,2,,
bE98cbLsuqwZLMA6a,,2022-06-24T21:33:19Z,,,ExitSurvey,2022-06-24T21:43:57Z,finished,,,,2022-06-24T21:32:47Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.67,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,9,,
aqf28wvY8KdTHFr2Q,,2022-06-24T21:36:40Z,,,ExitSurvey,2022-06-24T21:46:20Z,finished,,,,2022-06-24T21:33:28Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.0300000000000002,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,3,,
eGWQpT5PYpdiopWFF,,2022-06-24T21:36:46Z,,,ExitSurvey,2022-06-24T21:51:28Z,finished,,,,2022-06-24T21:35:06Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.460000000000001,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,5,,
6ddvrgDpKf7LMrXbZ,,2022-06-24T21:40:06Z,,,ExitSurvey,2022-06-24T21:51:28Z,finished,,,,2022-06-24T21:36:01Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.955000000000001,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,5,,
7dfopfJKqMBxYCPfE,,2022-06-24T21:41:03Z,,,ExitSurvey,2022-06-24T22:03:13Z,finished,,,,2022-06-24T21:38:31Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.49,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",A,0,,
p2eYryKburqCmAWoo,,2022-06-24T21:53:34Z,,,ExitSurvey,2022-06-24T22:03:13Z,finished,,,,2022-06-24T21:52:47Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.8449999999999995,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",B,0,,
59CQZC39Tb5hehQDN,,2022-06-24T22:04:54Z,,,,2022-06-24T22:09:55Z,gameLobbyTimedOut,,,,2022-06-24T22:03:56Z,,,,,,,,,,
hJFX7qbNCPmZvJEoo,,2022-06-24T22:38:47Z,,,"Sorry,ExitSurvey",2022-06-24T22:51:00Z,gameLobbyTimedOut,,,,2022-06-24T22:32:05Z,,,,,,,,,,
zy6Gqt2ztWgAFY3yK,,,,,Sorry,2022-06-24T22:51:00Z,gameLobbyTimedOut,,,,2022-06-24T22:50:44Z,,,,,,,,,,
wZrokNnLj4HMS65uY,,2022-06-24T22:56:03Z,,,"Sorry,ExitSurvey",2022-06-24T23:01:03Z,gameLobbyTimedOut,,,,2022-06-24T22:54:02Z,,,,,,,,,,
