row_id,index,stageIds,gameId,createdAt,targets,payoffs,repNum,text,playerId,role,type,submitted
GrpACDnm3vemubYHL,19,"tFFNuckmY86zbSusE,9FcyxJmR6JGtkpWfq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":7},""BA"":{""p1"":7,""p2"":0},""BB"":{""p1"":4,""p2"":4}}",19,NA,DfhwRi77r89iZFEFD,p1,selectionAlert,TRUE
zeYeMFGeBKzmTixWD,0,"TXNK3izmwbxp97yFY,5dFRavFjbwZgfokpe",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",0,NA,aD8amtjzJx6jEyBMp,p2,selectionAlert,TRUE
zeYeMFGeBKzmTixWD,0,"TXNK3izmwbxp97yFY,5dFRavFjbwZgfokpe",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",0,NA,Hvv3gEyCGX2zBmXK2,p1,selectionAlert,TRUE
g3zCdpuspGBjLjkfG,1,"kY5fWhiQZLbxEjcRw,Taq556jKYHDYXZ9ta",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",1,NA,Hvv3gEyCGX2zBmXK2,p1,selectionAlert,TRUE
g3zCdpuspGBjLjkfG,1,"kY5fWhiQZLbxEjcRw,Taq556jKYHDYXZ9ta",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",1,NA,aD8amtjzJx6jEyBMp,p2,selectionAlert,TRUE
ffgSfrus3mfQXcMGY,2,"TankasDpcEJz6bfHj,zzLd6wrrAf5oRzrP5",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",2,NA,Hvv3gEyCGX2zBmXK2,p1,selectionAlert,TRUE
ffgSfrus3mfQXcMGY,2,"TankasDpcEJz6bfHj,zzLd6wrrAf5oRzrP5",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",2,NA,aD8amtjzJx6jEyBMp,p2,selectionAlert,TRUE
xLTv2KhgoGtHPm7Qh,3,"8usR3eqvtnrnNpQtY,GDKidWgMzzZe9WaR2",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":7},""BA"":{""p1"":7,""p2"":0},""BB"":{""p1"":2,""p2"":2}}",3,NA,aD8amtjzJx6jEyBMp,p2,selectionAlert,TRUE
xLTv2KhgoGtHPm7Qh,3,"8usR3eqvtnrnNpQtY,GDKidWgMzzZe9WaR2",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":7},""BA"":{""p1"":7,""p2"":0},""BB"":{""p1"":2,""p2"":2}}",3,NA,Hvv3gEyCGX2zBmXK2,p1,selectionAlert,TRUE
LAhmHxA9msSnv2Ero,4,"zvNHeJ2g9yowDyTS4,tbmhfWptpTzDGsRAZ",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":7},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":5,""p2"":5}}",4,NA,Hvv3gEyCGX2zBmXK2,p1,selectionAlert,TRUE
LAhmHxA9msSnv2Ero,4,"zvNHeJ2g9yowDyTS4,tbmhfWptpTzDGsRAZ",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":7},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":5,""p2"":5}}",4,NA,aD8amtjzJx6jEyBMp,p2,selectionAlert,TRUE
