_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.bonus_log,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
qw9HCXESooEncFqZu,,2024-10-28T18:12:36Z,,,"Sorry,ExitSurvey",2024-10-28T18:22:38Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2024-10-28T18:09:02Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.395,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",false,0,4047,true
LDpYxbypMsiPi5jZD,,2024-10-28T18:11:29Z,,,"Sorry,ExitSurvey",2024-10-28T18:29:01Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2024-10-28T18:09:29Z,,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,1.6500000000000001,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",false,0,120,true
qjGMhgdhAtGjoJx44,,2024-10-28T18:33:56Z,,,"Sorry,ExitSurvey",2024-10-28T18:43:00Z,gameLobbyTimedOut,,,,2024-10-28T18:32:54Z,,,,,,,,,,,
uksodE8Qza6KjFdCH,,2024-10-29T15:23:11Z,,,ExitSurvey,2024-10-29T15:35:54Z,finished,,,,2024-10-29T15:22:36Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.9649999999999999,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,0,,
4a8SCP7iQ4a74Ltja,,2024-10-29T15:23:48Z,,,ExitSurvey,2024-10-29T15:34:17Z,finished,,,,2024-10-29T15:22:42Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.8200000000000003,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,0,,
xC76vYaxwZDiaibGp,,2024-10-29T15:23:38Z,,,ExitSurvey,2024-10-29T15:35:10Z,finished,,,,2024-10-29T15:22:50Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.9699999999999993,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,2,,
QsyAC7JCMNbQSAyKC,,2024-10-29T15:25:12Z,,,ExitSurvey,2024-10-29T15:35:35Z,finished,,,,2024-10-29T15:22:50Z,,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.5100000000000007,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,0,,
TPBxoziHjoAjxF2Ng,,2024-10-29T15:24:46Z,,,ExitSurvey,2024-10-29T15:34:56Z,finished,,,,2024-10-29T15:22:55Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.760000000000001,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,0,,
dpjHnRHGnSX3jcarK,,2024-10-29T15:23:55Z,,,ExitSurvey,2024-10-29T15:34:17Z,finished,,,,2024-10-29T15:22:56Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6550000000000002,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",B,12,,
qMeojHnRvWAgfajoM,,2024-10-29T15:23:58Z,,,ExitSurvey,2024-10-29T15:34:36Z,finished,,,,2024-10-29T15:22:57Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.2400000000000007,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,4,,
